PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ontology term URI
Coronavirus,Coronavirus,NCBITaxon_11118,http://purl.obolibrary.org/obo/NCBITaxon_11118
Elizabethkingia,Elizabethkingia,NCBITaxon_308865,http://purl.obolibrary.org/obo/NCBITaxon_308865
Encephalitis,Encephalitis,NCIT_C26760,http://purl.obolibrary.org/obo/NCIT_C26760
Enteritis,Enteritis,NCIT_C26765,http://purl.obolibrary.org/obo/NCIT_C26765
Enterotoxin,Enterotoxin,NCIT_C470,http://purl.obolibrary.org/obo/NCIT_C470
Fasciolopsiasis,Fasciolopsiasis,NCIT_C128388,http://purl.obolibrary.org/obo/NCIT_C128388
Filovirus,Filoviridae,NCBITaxon_11266,http://purl.obolibrary.org/obo/NCBITaxon_11266
Gonococcal infection,Gonococcal Infection,NCIT_C35730,http://purl.obolibrary.org/obo/NCIT_C35730
H10N7,G62024GU,GNO_G62024GU,http://purl.obolibrary.org/obo/GNO_G62024GU
H2N2,G53434XO,GNO_G53434XO,http://purl.obolibrary.org/obo/GNO_G53434XO
H3N2,G28681TP,GNO_G28681TP,http://purl.obolibrary.org/obo/GNO_G28681TP
H3N2v,Influenza A virus subtype H3N2v (organism),450000000,http://snomed.info/id/450000000
H5N1,H5N1 subtype,NCBITaxon_102793,http://purl.obolibrary.org/obo/NCBITaxon_102793
H5N6,G43769HG,GNO_G43769HG,http://purl.obolibrary.org/obo/GNO_G43769HG
H7N2,G31852PQ,GNO_G31852PQ,http://purl.obolibrary.org/obo/GNO_G31852PQ
H7N3,G13144LI,GNO_G13144LI,http://purl.obolibrary.org/obo/GNO_G13144LI
H7N7,G28622IK,GNO_G28622IK,http://purl.obolibrary.org/obo/GNO_G28622IK
H7N9,G39393YO,GNO_G39393YO,http://purl.obolibrary.org/obo/GNO_G39393YO
H9N2,G80920RR,GNO_G80920RR,http://purl.obolibrary.org/obo/GNO_G80920RR
Haemophilus influenzae pneumonia,Haemophilus influenzae pneumonia (disorder),70036007,http://snomed.info/id/70036007
Hemorrhagic fever,Hemorrhagic Fever,NCIT_C36169,http://purl.obolibrary.org/obo/NCIT_C36169
Herpes viral infection-sexually transmitted,viral sexually transmitted disease,MONDO_0021682,http://purl.obolibrary.org/obo/MONDO_0021682
Hookworm,Hookworm Infections,OMIT_0007869,http://purl.obolibrary.org/obo/OMIT_0007869
Lujo,Lujo virus,OMIT_0028305,http://purl.obolibrary.org/obo/OMIT_0028305
Lymphogranuloma,lymphogranuloma,GSSO_011374,http://purl.obolibrary.org/obo/GSSO_011374
NDM-1,NDM-1,ARO_3000589,http://purl.obolibrary.org/obo/ARO_3000589
Porcine reproductive and respiratory syndrome virus,Porcine reproductive and respiratory syndrome virus,NCBITaxon_28344,http://purl.obolibrary.org/obo/NCBITaxon_28344
Rabies,Rabies,DOID_11260,http://purl.obolibrary.org/obo/DOID_11260
